name,host_star_name,url,planet_type,mass,planet_radius,orbital_period,orbit_distance,eccentricity,discovery_method,host_star_type
HD 5891 b,HD 5891,https://science.nasa.gov/exoplanet-catalog/hd-5891-b/,Gas Giant,2425.0429,1.13,177.1,0.64,0.07,Radial Velocity,K
HD 59686 A b,HD 59686 A,https://science.nasa.gov/exoplanet-catalog/hd-59686-a-b/,Gas Giant,2199.3835999999997,1.13,299.4,1.086,0.05,Radial Velocity,K
HD 60292 b,HD 60292,https://science.nasa.gov/exoplanet-catalog/hd-60292-b/,Gas Giant,2065.895,1.13,495.4,1.5,0.27,Radial Velocity,K
HD 60532 b,HD 60532,https://science.nasa.gov/exoplanet-catalog/hd-60532-b/,Gas Giant,336.8998,1.23,201.9,0.77,0.26,Radial Velocity,F
HD 60532 c,HD 60532,https://science.nasa.gov/exoplanet-catalog/hd-60532-c/,Gas Giant,797.7532999999999,1.18,1.6,1.6,0.03,Radial Velocity,F
HD 6061 b,HD 6061,https://science.nasa.gov/exoplanet-catalog/hd-6061-b/,Super Earth,10.0,2.428,5.3,0.06,0.0,Transit,G
HD 62364 b,HD 62364,https://science.nasa.gov/exoplanet-catalog/hd-62364-b/,Gas Giant,5965.669099999999,1.08,14.1,6.15,0.61,Radial Velocity,F
HD 62364 c,HD 62364,https://science.nasa.gov/exoplanet-catalog/hd-62364-c/,Gas Giant,7923.501899999999,1.07,205,36.984,0.77,Radial Velocity,F
HD 62509 b,HD 62509,https://science.nasa.gov/exoplanet-catalog/hd-62509-b/,Gas Giant,731.0089999999999,1.19,1.6,1.64,0.02,Radial Velocity,K
HD 62549 b,HD 62549,https://science.nasa.gov/exoplanet-catalog/hd-62549-b/,Gas Giant,2707.59377,1.12,39.2,11.842,0.15,Radial Velocity,G
HD 63433 b,HD 63433,https://science.nasa.gov/exoplanet-catalog/hd-63433-b/,Super Earth,37.3,2.164,7.1,0.072,0.0,Transit,G
HD 63433 c,HD 63433,https://science.nasa.gov/exoplanet-catalog/hd-63433-c/,Super Earth,17.2,2.58229101,20.5,0.146,0.0,Transit,G
HD 63433 d,HD 63433,https://science.nasa.gov/exoplanet-catalog/hd-63433-d/,Super Earth,1.25,1.073,4.2,0.0503,0.16,Transit,G
HD 63454 b,HD 63454,https://science.nasa.gov/exoplanet-catalog/hd-63454-b/,Gas Giant,79.4575,1.098,2.8,0.04,0.0,Radial Velocity,K
HD 63765 b,HD 63765,https://science.nasa.gov/exoplanet-catalog/hd-63765-b/,Gas Giant,168.4499,1.27,358,0.94,0.24,Radial Velocity,G
HD 63935 b,HD 63935,https://science.nasa.gov/exoplanet-catalog/hd-63935-b/,Neptune-like,10.5,0.26,9.1,0.083,0.0,Transit,G
HD 63935 c,HD 63935,https://science.nasa.gov/exoplanet-catalog/hd-63935-c/,Neptune-like,11.1,0.273,21.4,0.148,0.0,Radial Velocity,G
